Threshold,TP,FP,FN,TN,Accuracy,Precision,Recall (Sensitivity),Specificity,F1,FN Rate
0.5,89,20,13,62,0.8206521739130435,0.8165137614678899,0.8725490196078431,0.7560975609756098,0.8436018957345972,0.12745098039215685
0.4,96,25,6,57,0.8315217391304348,0.7933884297520661,0.9411764705882353,0.6951219512195121,0.8609865470852018,0.058823529411764705
0.3,100,34,2,48,0.8043478260869565,0.746268656716418,0.9803921568627451,0.5853658536585366,0.847457627118644,0.0196078431372549
0.2,101,43,1,39,0.7608695652173914,0.7013888888888888,0.9901960784313726,0.47560975609756095,0.8211382113821138,0.00980392156862745
