Model,Threshold,TP,FP,FN,TN,Accuracy,Sensitivity,Precision,Recall,Specificity,F1
LogReg (12),0.5,87,21,15,61,0.8043478260869565,0.8529411764705882,0.8055555555555556,0.8529411764705882,0.7439024390243902,0.8285714285714286
LogReg (12),0.4,95,26,7,56,0.8206521739130435,0.9313725490196079,0.7851239669421488,0.9313725490196079,0.6829268292682927,0.852017937219731
LogReg (12),0.3,98,31,4,51,0.8097826086956522,0.9607843137254902,0.7596899224806202,0.9607843137254902,0.6219512195121951,0.8484848484848485
LogReg (12),0.2,99,39,3,43,0.7717391304347826,0.9705882352941176,0.717391304347826,0.9705882352941176,0.524390243902439,0.825
GBM (12),0.5,89,20,13,62,0.8206521739130435,0.8725490196078431,0.8165137614678899,0.8725490196078431,0.7560975609756098,0.8436018957345972
GBM (12),0.4,96,25,6,57,0.8315217391304348,0.9411764705882353,0.7933884297520661,0.9411764705882353,0.6951219512195121,0.8609865470852018
GBM (12),0.3,100,34,2,48,0.8043478260869565,0.9803921568627451,0.746268656716418,0.9803921568627451,0.5853658536585366,0.847457627118644
GBM (12),0.2,101,43,1,39,0.7608695652173914,0.9901960784313726,0.7013888888888888,0.9901960784313726,0.47560975609756095,0.8211382113821138
