Threshold,TP,FP,FN,TN,Accuracy,Precision,Recall (Sensitivity),Specificity,F1,FN Rate
0.5,87,21,15,61,0.8043478260869565,0.8055555555555556,0.8529411764705882,0.7439024390243902,0.8285714285714286,0.14705882352941177
0.4,95,26,7,56,0.8206521739130435,0.7851239669421488,0.9313725490196079,0.6829268292682927,0.852017937219731,0.06862745098039216
0.3,98,31,4,51,0.8097826086956522,0.7596899224806202,0.9607843137254902,0.6219512195121951,0.8484848484848485,0.0392156862745098
0.2,99,39,3,43,0.7717391304347826,0.717391304347826,0.9705882352941176,0.524390243902439,0.825,0.029411764705882353
