Threshold,Sensitivity,Precision,Accuracy,FN,FP,Sens >= 99%,Prec > 80%,Hypothesis met
0.5,0.8333333333333334,0.7798165137614679,0.7771739130434783,17,24,no,no,no
0.4,0.8921568627450981,0.7520661157024794,0.7771739130434783,11,30,no,no,no
0.3,0.9411764705882353,0.6906474820143885,0.7336956521739131,6,43,no,no,no
0.2,0.9705882352941176,0.6644295302013423,0.7119565217391305,3,50,no,no,no
0.1,0.9901960784313726,0.5872093023255814,0.6086956521739131,1,71,YES,no,no
